,open,high,low,close,volume
2023-03-02,224.88,233.804,224.32,233.14,39007465
2023-03-03,233.2,239.0,231.3,238.9,41239330
2023-03-06,238.91,242.48,234.87,235.54,43742923
2023-03-07,236.0,241.25,232.41,232.88,51515388
2023-03-08,234.87,242.0,234.235,241.81,51357339
2023-03-09,241.75,244.54,233.8284,234.36,50125699
2023-03-10,234.09,236.27,227.26,229.65,47486565
2023-03-13,227.52,232.98,222.97,229.66,42189032
2023-03-14,234.96,242.19,234.6,240.63,47491013
2023-03-15,237.61,242.86,233.6,242.28,52448574
2023-03-16,240.27,255.88,238.94,255.41,58494626
2023-03-17,259.82,263.99,256.68,257.25,84854656
2023-03-20,256.15,260.24,251.2983,259.0,43274719
2023-03-21,261.8,263.92,253.81,261.99,54740776
2023-03-22,264.25,275.89,262.37,264.68,79729511
2023-03-23,271.155,274.99,266.9,271.91,56488876
2023-03-24,270.31,271.67,263.55,267.79,45541407
2023-03-27,268.37,270.0,263.65,265.31,36102574
2023-03-28,264.47,265.13,258.5,264.1,35610378
2023-03-29,268.25,270.78,265.97,269.84,39369387
2023-03-30,272.29,274.99,271.02,273.83,36451574
2023-03-31,271.4,278.3431,271.05,277.77,43393277
2023-04-03,275.09,280.0,273.36,279.65,39871560
2023-04-04,279.66,280.0,273.07,274.53,36859153
2023-04-05,268.29,269.98,263.95,268.81,51501474
2023-04-06,265.84,270.8,264.27,270.37,39765434
2023-04-10,268.23,276.2099,266.69,275.79,39527855
2023-04-11,277.235,277.9,271.26,271.69,31437817
2023-04-12,273.7,274.6799,264.475,264.95,44625895
2023-04-13,267.34,268.869,263.29,264.63,35361528
2023-04-14,265.04,268.83,262.2,267.58,39566013
2023-04-17,265.655,270.06,264.3318,270.02,31348982
2023-04-18,275.335,281.1,273.57,276.67,60481154
2023-04-19,273.61,280.0,272.32,279.31,35866041
2023-04-20,276.71,280.3,270.0,271.04,42771326
2023-04-21,269.52,271.83,267.22,271.19,34510277
2023-04-24,270.13,273.6599,266.7101,270.42,33928186
2023-04-25,270.78,272.47,262.25,262.41,37852716
2023-04-26,270.02,273.3,267.051,269.56,40449391
2023-04-27,273.63,274.95,266.2501,272.26,37716119
2023-04-28,272.25,277.58,270.7148,277.49,29221614
2023-05-01,278.4,290.5844,277.8,289.1,57032853
2023-05-02,286.8,288.3599,280.83,282.1,40272957
2023-05-03,278.4,283.67,274.72,278.02,38338740
2023-05-04,276.51,278.59,272.4,275.62,32185041
2023-05-05,278.255,287.55,277.31,286.8,36149408
2023-05-08,285.22,292.2,283.5,291.51,34497890
2023-05-09,288.99,289.73,284.5,285.71,31486946
2023-05-10,290.05,291.13,284.6128,288.85,36934998
2023-05-11,288.96,289.5,282.46,285.78,32214903
2023-05-12,285.29,287.8,280.46,283.4,27422225
2023-05-15,285.085,289.69,281.52,289.53,29392587
2023-05-16,288.41,298.7,288.32,292.13,44940494
2023-05-17,295.84,301.99,294.3001,301.78,43253541
2023-05-18,304.1,318.28,303.2,316.78,74872501
2023-05-19,315.36,315.8,309.16,312.64,47390765
2023-05-22,309.01,315.2,306.8,311.76,37199967
2023-05-23,310.0,312.88,306.31,306.88,35625326
2023-05-24,302.1,306.07,298.06,305.38,72141851
2023-05-25,385.23,394.8,366.35,379.8,154391067
2023-05-26,378.9,391.7,375.5,389.46,71439676
2023-05-30,405.95,419.38,399.49,401.11,92340110
2023-05-31,394.88,402.95,378.22,378.34,99882681
2023-06-01,384.89,400.5,383.4,397.7,63587295
2023-06-02,400.97,405.0,390.5801,393.27,48273121
2023-06-05,389.09,395.6503,387.07,391.71,39609381
2023-06-06,388.3,391.6,381.48,386.54,38872914
2023-06-07,389.15,394.99,373.56,374.75,51199789
2023-06-08,377.24,388.64,375.05,385.1,41777240
2023-06-09,390.37,397.11,385.67,387.7,42771747
2023-06-12,392.0,395.2999,386.18,394.82,38967335
2023-06-13,401.86,411.01,397.4,410.22,61320816
2023-06-14,408.24,430.0,405.52,429.97,74046502
2023-06-15,426.02,432.89,421.47,426.53,56862204
2023-06-16,434.5,437.21,426.605,426.92,65570941
2023-06-20,429.98,439.9,426.74,438.08,45115311
2023-06-21,435.01,436.15,420.8,430.45,55160291
2023-06-22,422.53,434.255,422.34,430.25,41773743
2023-06-23,424.64,428.09,420.15,422.09,35813984
2023-06-26,424.61,427.64,401.0,406.32,59432192
2023-06-27,407.99,419.4,404.48,418.76,46217470
2023-06-28,406.6,418.45,405.18,411.17,58263927
2023-06-29,415.58,416.0,406.0,408.22,38051430
2023-06-30,416.8,425.5,415.01,423.02,50114775
2023-07-03,425.17,428.98,422.02,424.13,19820919
2023-07-05,421.35,431.77,420.85,423.17,32361756
2023-07-06,418.44,421.79,413.46,421.03,30413879
2023-07-07,423.22,432.14,421.8,425.03,35588147
2023-07-10,426.57,428.11,416.49,421.8,35390811
2023-07-11,424.81,427.58,420.67,424.05,29824406
2023-07-12,430.33,439.35,427.7728,439.02,48127702
2023-07-13,445.18,461.55,444.92,459.77,47820369
2023-07-14,465.8281,480.88,450.6,454.69,77207533
2023-07-17,462.89,464.96,452.6241,464.61,51048822
2023-07-18,467.01,478.9599,457.34,474.94,57019042
2023-07-19,474.64,478.18,467.42,470.77,42750179
2023-07-20,465.07,470.87,450.62,455.2,53786451
2023-07-21,457.88,458.66,441.0,443.09,96376863
2023-07-24,447.31,451.09,440.4,446.12,38309974
2023-07-25,449.41,461.825,449.23,456.79,34808091
2023-07-26,460.21,460.53,446.3,454.52,36423726
2023-07-27,465.19,473.95,457.5,459.0,45597552
2023-07-28,466.68,470.27,463.81,467.5,33119424
2023-07-31,467.54,471.3,465.0601,467.29,25105528
2023-08-01,464.595,469.0,460.27,465.07,23927597
2023-08-02,458.31,458.4,433.87,442.69,53014157
2023-08-03,438.0,451.18,438.0,445.15,32507660
2023-08-04,449.85,456.42,443.93,446.8,36266618
2023-08-07,451.11,455.4,445.6345,454.165,32215354
2023-08-08,448.53,452.42,440.5601,446.64,35384343
2023-08-09,442.74,443.12,421.34,425.54,58644907
2023-08-10,421.6,435.74,418.35,423.88,49270530
2023-08-11,417.51,420.18,406.39,408.55,53308526
2023-08-14,404.86,438.0,403.11,437.53,69028583
2023-08-15,445.6,452.68,437.1,439.4,67651151
2023-08-16,445.2,446.75,434.06,434.86,52745068
2023-08-17,439.7,440.62,430.01,433.435,45239482
2023-08-18,426.35,435.7799,416.6,432.99,58376787
2023-08-21,444.94,470.65,442.22,469.67,69257337
2023-08-22,481.35,481.87,453.331,456.68,75720691
2023-08-23,458.66,472.0,452.08,471.16,77904608
2023-08-24,502.16,502.66,471.59,471.63,115604409
2023-08-25,470.12,478.05,450.24,460.18,92534052
2023-08-28,464.82,469.8,448.88,468.35,68519223
2023-08-29,466.66,490.81,463.9101,487.84,70139699
2023-08-30,490.44,499.27,484.25,492.64,73520598
2023-08-31,493.8,497.44,489.58,493.55,52856977
2023-09-01,497.62,498.0,481.416,485.09,46383030
2023-09-05,482.23,488.5081,478.6,485.48,38265258
2023-09-06,484.41,485.49,465.8,470.61,46866957
2023-09-07,455.25,463.44,451.52,462.41,43332989
2023-09-08,459.42,466.06,452.71,455.72,47389994
2023-09-11,461.48,461.63,443.12,451.78,47396555
2023-09-12,447.38,456.73,445.31,448.7,34925634
2023-09-13,446.0,459.3,445.03,454.85,39835535
2023-09-14,459.5,459.8699,451.31,455.81,37009720
2023-09-15,453.41,455.99,438.08,439.0,50683051
2023-09-18,427.48,442.42,420.0,439.66,50027079
2023-09-19,438.33,439.66,430.02,435.2,37306424
2023-09-20,436.0,439.03,422.23,422.39,36710769
2023-09-21,415.83,421.0,409.8,410.17,45073596
2023-09-22,415.72,421.15,412.31,416.1,47923631
2023-09-25,415.91,425.36,411.77,422.22,41909096
2023-09-26,420.01,428.2,416.55,419.11,40228209
2023-09-27,423.3,428.72,416.2901,424.68,44493520
2023-09-28,424.6,434.4631,421.15,430.89,42466279
2023-09-29,438.27,441.44,433.0694,434.99,39782993
2023-10-02,440.3,451.75,438.61,447.82,43329821
2023-10-03,448.08,451.3,432.46,435.17,47084954
2023-10-04,437.42,441.43,432.9201,440.41,36182086
2023-10-05,440.5,449.0,438.88,446.88,39348309
2023-10-06,441.93,457.89,440.26,457.62,43443602
2023-10-09,448.42,456.05,443.68,452.73,40967472
2023-10-10,453.1,462.59,450.88,457.98,36858208
2023-10-11,461.96,468.59,460.5,468.06,37813689
2023-10-12,467.77,476.09,463.3,469.45,48132500
2023-10-13,469.6,471.16,452.8,454.61,47542599
2023-10-16,450.63,462.25,449.12,460.95,37509924
2023-10-17,440.0,447.54,424.8,439.38,81233267
2023-10-18,425.91,432.19,418.25,421.96,62729434
2023-10-19,428.11,432.97,418.82,421.01,50123308
2023-10-20,418.9,424.7,410.78,413.87,47726605
2023-10-23,412.29,432.4799,409.45,429.75,47853049
2023-10-24,430.77,436.97,426.91,436.63,40146337
2023-10-25,433.98,436.5,415.55,417.79,39837922
2023-10-26,418.53,422.5555,398.8019,403.26,54100132
2023-10-27,411.3,412.06,400.15,405.0,41678441
2023-10-30,410.87,417.66,404.81,411.61,38802814
2023-10-31,404.5,408.79,392.3001,407.8,51796870
2023-11-01,408.84,423.81,408.69,423.25,43759290
2023-11-02,433.28,438.84,428.94,435.06,40917187
2023-11-03,440.2,453.0899,437.23,450.05,42460959
2023-11-06,452.845,459.35,448.99,457.51,40073335
2023-11-07,457.19,462.18,451.575,459.55,34316547
2023-11-08,461.0,468.67,459.68,465.74,34671894
2023-11-09,474.67,482.3,467.5,469.5,54049597
2023-11-10,475.0,484.72,472.8301,483.35,42244156
2023-11-13,483.2,491.16,480.9901,486.2,38413570
2023-11-14,496.8,498.34,490.4001,496.56,41695387
2023-11-15,499.35,499.6,482.0,488.88,47549735
2023-11-16,486.79,495.2469,483.3,494.8,33975624
2023-11-17,495.24,497.17,490.07,492.98,32589691
2023-11-20,493.12,505.48,491.8101,504.09,41614260
2023-11-21,501.26,505.17,492.22,499.44,56574687
2023-11-22,498.52,503.3494,476.9,487.16,90064233
2023-11-24,484.7001,489.21,477.45,477.76,29464464
2023-11-27,478.0,485.3,476.52,482.42,39566190
2023-11-28,482.36,483.229,474.73,478.21,40149085
2023-11-29,483.79,487.62,478.6,481.4,38200465
2023-11-30,480.24,481.1,464.22,467.7,52624663
2023-12-01,465.25,472.0,461.87,467.65,36931701
2023-12-04,460.77,460.77,450.1,455.1,43754344
2023-12-05,454.66,466.0,452.71,465.66,37171762
2023-12-06,472.145,473.87,454.12,455.03,36778599
2023-12-07,457.0,466.29,456.04,465.96,35082255
2023-12-08,465.95,477.4085,465.5,475.06,35922370
2023-12-11,474.91,475.31,458.3,466.27,50972809
2023-12-12,460.46,476.66,460.46,476.57,37238686
2023-12-13,476.29,485.94,476.08,480.88,44779186
2023-12-14,483.9,486.7,474.22,483.5,39123174
2023-12-15,481.94,494.04,481.2,488.9,47994758
2023-12-18,494.0,504.3299,491.5,500.77,41258717
2023-12-19,494.24,497.0,488.95,496.04,46313248
2023-12-20,496.55,499.99,480.98,481.11,39789439
2023-12-21,488.11,490.95,484.19,489.9,30042535
2023-12-22,491.95,493.83,484.67,488.3,25250676
2023-12-26,489.68,496.0,489.6,492.79,24419952
2023-12-27,495.11,496.8,490.85,494.17,23215431
2023-12-28,496.43,498.8399,494.12,495.22,24658748
2023-12-29,498.13,499.97,487.51,495.22,38929330
2024-01-02,492.44,492.95,475.95,481.68,41125422
2024-01-03,474.85,481.841,473.2,475.69,32089617
2024-01-04,477.67,485.0,475.08,479.98,30653489
2024-01-05,484.62,495.47,483.0601,490.97,41080455
2024-01-08,495.12,522.75,494.79,522.53,64250990
2024-01-09,524.01,543.25,516.9,531.4,77310006
2024-01-10,536.16,546.0,534.89,543.5,53379576
2024-01-11,549.99,553.46,535.6,548.22,59675877
2024-01-12,546.2,549.7,543.3008,547.1,35299360
2024-01-16,550.18,568.3499,549.0,563.82,44957973
2024-01-17,563.47,564.7068,547.4,560.53,47439444
2024-01-18,572.6,576.0,561.07,571.07,49165036
2024-01-19,579.89,595.0,572.25,594.91,54350148
2024-01-22,600.49,603.31,590.7,596.54,45295463
2024-01-23,595.7,599.1,585.85,598.73,29465445
2024-01-24,603.04,628.49,599.38,613.62,55706870
2024-01-25,623.5,627.19,608.5,616.17,48277684
2024-01-26,609.6,617.83,605.73,610.31,39030859
2024-01-29,612.32,624.89,609.07,624.65,34873298
2024-01-30,629.0,634.93,622.6,627.74,41073530
2024-01-31,614.4,622.6902,607.0,615.27,45379487
2024-02-01,621.0,631.91,616.5,630.27,36914579
2024-02-02,639.74,666.0,636.9,661.6,47657765
2024-02-05,682.25,694.97,672.05,693.32,68007801
2024-02-06,696.3,697.5399,663.0,682.23,68311136
2024-02-07,683.19,702.2,676.0,700.99,49557455
2024-02-08,700.74,707.94,694.55,696.41,41442211
2024-02-09,705.33,721.85,702.12,721.33,43663689
2024-02-12,726.0,746.11,712.5,722.48,61371018
2024-02-13,704.0,734.5,696.2,721.28,60258015
2024-02-14,732.02,742.36,719.38,739.0,50491742
2024-02-15,738.69,739.75,724.0,726.58,42012181
2024-02-16,741.0,744.02,725.01,726.13,49532662
2024-02-20,719.47,719.56,677.34,694.52,70483310
2024-02-21,680.06,688.88,662.48,674.72,69029813
2024-02-22,750.25,785.75,742.2,785.38,86509974
2024-02-23,807.9,823.94,775.7,788.17,82938837
2024-02-26,797.0,806.4599,785.05,790.92,50397273
2024-02-27,793.81,794.8,771.62,787.01,39170524
2024-02-28,776.2,789.33,771.25,776.63,39311040
2024-02-29,790.94,799.9,783.5,791.12,50728898
2024-03-01,800.0,823.0,794.3503,822.79,47913510
2024-03-04,841.3,876.95,837.19,852.37,61561645
2024-03-05,852.7,860.97,834.1701,859.64,52063930
2024-03-06,880.22,897.24,870.3001,887.0,58252030
2024-03-07,901.58,927.67,896.0201,926.69,60811916
2024-03-08,951.379,974.0,865.06,875.28,114226906
2024-03-11,864.29,887.97,841.66,857.74,66611510
2024-03-12,880.49,919.6,861.501,919.13,65437480
2024-03-13,910.55,915.04,884.35,908.88,62726626
2024-03-14,895.77,906.46,866.0,879.44,59711081
2024-03-15,869.3,895.46,862.57,878.365,64208616
2024-03-18,903.88,924.05,870.85,884.55,66897593
2024-03-19,867.0,905.44,850.1,893.98,67217127
2024-03-20,897.97,904.1,882.23,903.72,47906279
2024-03-21,923.0,926.48,904.05,914.35,48037231
2024-03-22,911.41,947.7799,908.3401,942.89,58671936
2024-03-25,939.41,967.6599,935.1,950.02,55213608
2024-03-26,958.51,963.75,925.02,925.61,51364758
2024-03-27,931.12,932.4,891.23,902.5,58606723
2024-03-28,900.0,913.0,891.93,903.56,43521227
2024-04-01,902.99,922.25,892.04,903.63,44811733
2024-04-02,884.48,900.94,876.2,894.52,43137935
2024-04-03,884.84,903.74,884.0,889.64,36759126
2024-04-04,904.06,906.3399,858.8,859.05,42886990
2024-04-05,868.66,884.81,859.26,880.08,39772878
2024-04-08,887.0,888.3,867.32,871.33,27907532
2024-04-09,874.42,876.35,830.22,853.54,49977974
2024-04-10,839.26,874.0,837.09,870.39,43192853
2024-04-11,874.2,907.3899,869.26,906.16,43163727
2024-04-12,896.99,901.7499,875.3,881.86,42680479
2024-04-15,890.98,906.13,859.2901,860.01,44307695
2024-04-16,864.325,881.18,860.639,874.15,37045302
2024-04-17,883.4,887.75,839.5,840.35,49539951
2024-04-18,849.7,861.8999,824.02,846.71,44726034
2024-04-19,831.5,843.24,756.06,762.0,87519800
2024-04-22,781.04,800.73,764.0,795.18,59634051
2024-04-23,807.69,827.69,802.64,824.23,43855937
2024-04-24,839.5,840.82,791.83,796.77,51220753
2024-04-25,788.6801,833.2299,782.23,826.32,42464073
2024-04-26,838.18,883.3093,833.87,877.35,55101078
2024-04-29,875.95,879.92,852.66,877.57,38897076
2024-04-30,872.4,888.19,863.0,864.02,36370870
2024-05-01,850.77,860.0,812.5456,830.41,55986317
2024-05-02,844.49,862.37,832.0,858.17,37789754
2024-05-03,877.89,892.81,870.4,887.89,39834072
2024-05-06,893.9,922.2,890.55,921.4,37620255
2024-05-07,910.98,917.8099,890.11,905.54,43734161
2024-05-08,894.825,911.94,894.2,904.12,32572102
2024-05-09,905.29,910.72,882.31,887.47,37801268
2024-05-10,903.045,914.01,892.27,898.78,33532541
2024-05-13,904.78,909.98,885.29,903.99,28968017
2024-05-14,895.99,916.51,889.34,913.56,29650708
2024-05-15,924.72,948.62,915.99,946.3,41773545
2024-05-16,949.1,958.1899,941.03,943.59,32395182
2024-05-17,943.69,947.4,918.06,924.79,35969103
2024-05-20,937.5,952.0,934.4,947.8,31876446
2024-05-21,935.99,954.0,931.8,953.86,32894646
2024-05-22,954.59,960.2,932.49,949.5,54864799
2024-05-23,1020.28,1063.2,1015.2,1037.99,83506528
2024-05-24,1044.49,1064.75,1030.0,1064.69,42949367
2024-05-28,1102.44,1149.39,1098.83,1139.01,65272789
2024-05-29,1130.5,1154.92,1109.01,1148.25,55744193
2024-05-30,1146.5,1158.1915,1096.63,1105.0,48735033
2024-05-31,1125.2,1127.17,1069.4,1096.33,61326250
2024-06-03,1136.21,1150.0,1120.03,1150.0,43839176
2024-06-04,1157.16,1166.0,1140.45,1164.37,40332401
2024-06-05,1183.71,1224.495,1174.68,1224.4,52840178
2024-06-06,1240.48,1255.87,1183.2,1209.98,66469619
2024-06-07,1197.7,1216.9171,1180.22,1208.88,41238580
2024-06-10,120.45,195.95,117.01,121.79,310103068
