,open,high,low,close,volume
2023-06-12,2049.43,2066.33,2033.22,2063.67,228755
2023-06-13,2063.1,2067.3,2046.04,2065.73,181661
2023-06-14,2064.49,2070.9835,2052.53,2061.17,140743
2023-06-15,2057.1,2078.27,2050.01,2051.66,201013
2023-06-16,2065.93,2065.93,2031.74,2032.92,343962
2023-06-20,2035.96,2056.965,2034.68,2049.8,246671
2023-06-21,2064.69,2092.51,2058.94,2074.48,336787
2023-06-22,2069.0,2070.05,2040.97,2050.52,258866
2023-06-23,2037.72,2059.09,2037.01,2043.68,721253
2023-06-26,2044.97,2053.99,2024.82,2032.31,248808
2023-06-27,2044.44,2071.53,2033.05,2066.73,223410
2023-06-28,2071.93,2116.34,2069.9,2101.49,246086
2023-06-29,2103.27,2124.99,2102.885,2110.6,219677
2023-06-30,2125.0,2144.165,2115.05,2139.0,273135
2023-07-03,2138.0,2147.52,2119.045,2123.54,155596
2023-07-05,2117.14,2125.0,2110.03,2120.71,150744
2023-07-06,2108.49,2114.295,2092.4301,2093.37,168825
2023-07-07,2080.92,2091.62,2071.12,2077.46,229019
2023-07-10,2074.87,2098.795,2074.87,2093.09,168990
2023-07-11,2094.83,2106.39,2051.565,2053.28,256028
2023-07-12,2069.49,2082.74,2058.25,2076.0,164798
2023-07-13,2085.2,2088.8,2046.93,2048.86,225090
2023-07-14,2058.17,2078.235,2033.765,2055.98,258806
2023-07-17,2064.55,2130.0,2062.95,2127.51,342335
2023-07-18,2152.7,2173.6337,2119.99,2153.2,293398
2023-07-19,2165.01,2175.01,2138.05,2139.13,235385
2023-07-20,2128.0,2135.0,2084.43,2094.71,292750
2023-07-21,2114.29,2130.14,2086.44,2098.87,284764
2023-07-24,2104.32,2107.86,2043.78,2082.99,313374
2023-07-25,2088.35,2104.93,2086.05,2092.34,215277
2023-07-26,2091.85,2100.04,2065.01,2087.86,478795
2023-07-27,1925.02,1949.99,1872.64,1882.98,1369206
2023-07-28,1898.21,1918.64,1877.645,1912.52,687605
2023-07-31,1925.56,1975.17,1916.81,1962.28,489263
2023-08-01,1949.84,1973.16,1946.035,1955.0,308905
2023-08-02,1944.52,1964.41,1935.54,1936.86,295588
2023-08-03,1926.45,1946.1,1918.45,1922.92,275739
2023-08-04,1935.8,1935.8,1890.23,1890.61,360212
2023-08-07,1893.27,1897.29,1882.3093,1890.0,200860
2023-08-08,1880.0,1883.995,1852.67,1861.35,246972
2023-08-09,1862.17,1867.9799,1844.199,1850.57,212836
2023-08-10,1856.82,1866.66,1841.174,1845.71,191704
2023-08-11,1845.69,1856.34,1839.6365,1846.55,209194
2023-08-14,1837.11,1871.14,1837.11,1850.08,212157
2023-08-15,1842.79,1864.9,1842.79,1848.16,186657
2023-08-16,1845.72,1873.73,1841.19,1866.89,322673
2023-08-17,1860.89,1876.38,1841.5201,1848.54,322836
2023-08-18,1837.46,1858.22,1837.46,1849.2,194595
2023-08-21,1853.23,1877.97,1853.23,1866.13,263797
2023-08-22,1883.7,1884.32,1865.95,1872.04,151145
2023-08-23,1878.88,1897.0,1866.9168,1894.91,175679
2023-08-24,1900.05,1900.97,1870.285,1872.32,188519
2023-08-25,1872.13,1886.0,1866.05,1876.78,164097
2023-08-28,1885.55,1902.15,1877.425,1899.27,174507
2023-08-29,1898.8,1911.4299,1891.76,1903.08,141370
2023-08-30,1910.0,1943.85,1903.56,1938.57,233466
2023-08-31,1945.85,1951.74,1924.56,1926.64,198656
2023-09-01,1928.16,1942.31,1921.0,1938.61,173755
2023-09-05,1961.0,1969.95,1932.63,1951.49,271693
2023-09-06,1950.0,1966.31,1941.9,1954.12,324265
2023-09-07,1946.75,1970.04,1927.685,1966.84,242527
2023-09-08,1970.53,1976.035,1943.16,1945.1,229672
2023-09-11,1953.41,1958.91,1940.15,1948.85,192383
2023-09-12,1926.25,1936.655,1916.0,1933.01,210638
2023-09-13,1927.11,1946.0,1914.9597,1933.04,120204
2023-09-14,1943.5,1943.5,1919.39,1936.12,179589
2023-09-15,1928.51,1928.51,1903.67,1912.5,247268
2023-09-18,1901.8,1945.915,1901.8,1938.36,210217
2023-09-19,1934.0,1934.0,1898.4989,1924.67,161369
2023-09-20,1920.0,1939.8299,1919.95,1920.48,130263
2023-09-21,1909.71,1914.47,1859.1,1866.01,242151
2023-09-22,1868.27,1891.69,1862.03,1875.58,201212
2023-09-25,1864.27,1867.43,1848.5,1859.69,205181
2023-09-26,1840.0,1852.435,1836.48,1847.62,203579
2023-09-27,1854.19,1863.65,1795.0101,1806.08,333509
2023-09-28,1804.56,1848.77,1803.55,1838.73,295547
2023-09-29,1854.38,1866.5799,1831.01,1831.83,246952
2023-10-02,1830.95,1868.98,1828.85,1867.13,197466
2023-10-03,1856.08,1876.82,1826.26,1837.19,196074
2023-10-04,1842.88,1863.98,1840.46,1857.99,161886
2023-10-05,1854.38,1871.88,1848.335,1861.58,200725
2023-10-06,1850.33,1854.065,1818.13,1822.27,383845
2023-10-09,1800.01,1833.45,1800.01,1833.01,245820
2023-10-10,1825.0,1844.355,1823.07,1832.12,193211
2023-10-11,1836.66,1842.62,1810.44,1823.48,282499
2023-10-12,1825.08,1826.87,1780.61,1793.68,251577
2023-10-13,1790.06,1803.49,1768.635,1781.48,221477
2023-10-16,1784.98,1826.0,1779.06,1810.45,246246
2023-10-17,1799.0,1830.0,1799.0,1829.51,214883
2023-10-18,1835.0,1857.2288,1828.3036,1840.73,238243
2023-10-19,1849.44,1867.665,1839.455,1847.63,209339
2023-10-20,1851.11,1853.0,1827.81,1831.25,189847
2023-10-23,1820.3,1839.5,1814.97,1819.66,226123
2023-10-24,1836.16,1862.2112,1831.4,1855.09,244462
2023-10-25,1849.94,1862.0,1832.165,1841.87,197956
2023-10-26,1844.9,1852.02,1798.485,1806.47,455414
2023-10-27,1884.73,1952.665,1856.5,1887.59,905801
2023-10-30,1890.0,1920.375,1874.32,1909.3,308596
2023-10-31,1908.24,1958.0,1900.345,1942.2,393864
2023-11-01,1950.0,1998.5051,1941.52,1986.64,338842
2023-11-02,1995.859,2039.43,1995.859,2035.37,359308
2023-11-03,2036.0,2056.47,2030.0,2040.53,241340
2023-11-06,2043.0,2070.16,2036.68,2069.05,215548
2023-11-07,2070.0,2074.99,2056.75,2064.78,190589
2023-11-08,2066.6,2089.89,2059.5,2084.0,181305
2023-11-09,2093.59,2107.01,2085.82,2095.11,203851
2023-11-10,2102.83,2122.12,2095.92,2120.58,215130
2023-11-13,2121.0,2155.785,2114.17,2150.43,255650
2023-11-14,2168.06,2177.07,2151.95,2166.02,229529
2023-11-15,2174.16,2174.16,2148.95,2155.81,198986
2023-11-16,2159.0,2177.7699,2154.945,2173.1,256278
2023-11-17,2175.0,2176.01,2161.0,2162.22,139555
2023-11-20,2170.0,2193.16,2160.0,2186.69,202684
2023-11-21,2191.32,2207.525,2186.9,2197.64,182429
2023-11-22,2214.37,2224.8,2210.0,2218.93,177913
2023-11-24,2205.0,2225.0,2204.0,2219.67,67447
2023-11-27,2222.98,2238.5,2205.5,2209.19,207828
2023-11-28,2210.0,2216.51,2199.06,2206.67,144137
2023-11-29,2211.62,2219.0,2185.76,2189.11,179176
2023-11-30,2182.88,2210.2859,2182.88,2202.25,259106
2023-12-01,2199.81,2239.73,2199.81,2233.83,215946
2023-12-04,2235.0,2243.89,2210.0,2219.2,172079
2023-12-05,2219.0,2236.475,2219.0,2226.25,114924
2023-12-06,2238.49,2248.39,2208.27,2210.05,132466
2023-12-07,2210.81,2227.66,2206.33,2226.25,127634
2023-12-08,2224.17,2244.71,2221.45,2242.95,163445
2023-12-11,2250.0,2302.92,2250.0,2295.48,252614
2023-12-12,2307.83,2321.18,2290.92,2320.39,142860
2023-12-13,2344.06,2345.98,2316.82,2340.0,182945
2023-12-14,2344.33,2346.35,2274.485,2275.7,267663
2023-12-15,2254.16,2290.0,2254.16,2271.47,256696
2023-12-18,2280.03,2300.75,2265.01,2297.03,201349
2023-12-19,2305.0,2328.92,2304.42,2327.03,170832
2023-12-20,2328.0,2348.415,2313.22,2313.87,148113
2023-12-21,2315.4,2323.225,2295.07,2307.1,130358
2023-12-22,2314.5,2314.5,2300.33,2304.35,104622
2023-12-26,2306.73,2324.68,2306.73,2319.52,106748
2023-12-27,2325.88,2327.0,2301.586,2307.44,145216
2023-12-28,2302.44,2304.195,2276.47,2278.38,150265
2023-12-29,2282.51,2287.26,2268.47,2286.96,184905
2024-01-02,2278.45,2285.0,2237.56,2244.75,199979
2024-01-03,2244.75,2253.0,2230.11,2233.65,169787
2024-01-04,2228.79,2239.375,2220.28,2220.47,168721
2024-01-05,2222.02,2228.54,2209.405,2212.8,173272
2024-01-08,2219.94,2236.39,2204.095,2236.39,328243
2024-01-09,2224.6,2252.0,2224.6,2232.0,213818
2024-01-10,2240.21,2260.0535,2232.01,2245.0,208436
2024-01-11,2250.4,2278.17,2226.51,2276.57,182448
2024-01-12,2278.83,2282.47,2263.675,2271.9,125514
2024-01-16,2275.97,2303.4,2274.96,2289.97,159497
2024-01-17,2280.91,2319.425,2280.91,2310.44,182766
2024-01-18,2322.0,2328.695,2302.68,2322.82,157485
2024-01-19,2328.0,2347.3017,2327.0,2334.6,301365
2024-01-22,2342.0,2352.755,2315.96,2325.0,203430
2024-01-23,2320.0,2328.325,2300.615,2321.82,159647
2024-01-24,2339.02,2340.49,2326.1,2334.8,149268
2024-01-25,2327.8,2339.41,2307.785,2311.77,170538
2024-01-26,2313.0,2331.76,2307.68,2326.25,145120
2024-01-29,2328.61,2407.145,2314.31,2404.53,326785
2024-01-30,2400.04,2421.13,2393.95,2419.28,185911
2024-01-31,2419.1,2439.63,2407.72,2408.77,215493
2024-02-01,2414.0,2448.0074,2411.805,2442.02,268618
2024-02-02,2445.61,2492.95,2427.03,2482.28,213583
2024-02-05,2502.59,2506.07,2462.375,2470.85,378483
2024-02-06,2480.43,2497.78,2464.915,2487.74,454951
2024-02-07,2561.495,2725.83,2505.0001,2666.99,901180
2024-02-08,2678.05,2688.9999,2616.01,2620.48,387018
2024-02-09,2636.98,2659.11,2615.93,2638.35,211052
2024-02-12,2632.26,2634.0,2594.86,2608.23,207934
2024-02-13,2588.33,2642.305,2586.06,2599.14,231596
2024-02-14,2614.53,2632.55,2593.87,2620.19,135878
2024-02-15,2616.47,2626.72,2602.35,2618.0,167464
2024-02-16,2620.0,2625.41,2597.82,2598.43,138362
2024-02-20,2595.49,2612.16,2569.01,2580.2,203214
2024-02-21,2570.5,2575.87,2557.64,2569.48,140464
2024-02-22,2593.67,2636.94,2593.67,2627.37,204748
2024-02-23,2644.64,2657.73,2631.27,2646.72,158783
2024-02-26,2665.0,2672.67,2646.43,2660.45,131705
2024-02-27,2663.0,2663.58,2625.06,2645.24,129530
2024-02-28,2634.11,2672.97,2634.11,2671.72,129282
2024-02-29,2681.0,2703.485,2673.49,2688.77,197440
2024-03-01,2699.45,2704.99,2679.95,2688.78,165233
2024-03-04,2688.8,2731.89,2679.395,2720.3,204415
2024-03-05,2712.91,2733.74,2693.82,2711.33,186867
2024-03-06,2724.28,2725.6962,2671.43,2690.14,157048
2024-03-07,2710.0,2712.45,2678.01,2690.22,124232
2024-03-08,2681.54,2704.54,2675.3586,2686.12,119218
2024-03-11,2670.0,2683.21,2614.98,2662.59,198921
2024-03-12,2677.46,2727.615,2669.88,2719.82,199353
2024-03-13,2720.67,2738.1299,2702.06,2722.69,187545
2024-03-14,2766.56,2775.66,2725.0,2748.52,209900
2024-03-15,2727.63,2758.4,2717.99,2756.39,236583
2024-03-18,2768.07,2813.99,2764.01,2773.53,189605
2024-03-19,2780.0,2798.335,2753.6,2797.56,173537
2024-03-20,2935.72,3023.98,2880.3,2895.0,1003363
2024-03-21,2952.8,2952.8,2892.0,2904.98,319106
2024-03-22,2922.24,2922.24,2882.01,2882.04,224227
2024-03-25,2889.0,2913.81,2871.4901,2903.44,282747
2024-03-26,2923.42,2979.45,2915.0,2955.53,332639
2024-03-27,2976.0,2993.9899,2902.88,2923.46,282319
2024-03-28,2945.0,2945.0,2903.01,2906.77,292733
2024-04-01,2919.17,2919.89,2863.4616,2877.0,238064
2024-04-02,2873.95,2904.82,2850.0,2901.94,220580
2024-04-03,2895.04,2907.02,2873.13,2895.58,198805
2024-04-04,2909.69,2920.25,2853.62,2856.03,232203
2024-04-05,2878.3,2905.73,2874.05,2905.42,203334
2024-04-08,2904.09,2937.52,2904.09,2931.53,218297
2024-04-09,2959.0,2965.1,2879.0,2926.96,221922
2024-04-10,2913.0,2972.37,2901.23,2965.69,284191
2024-04-11,2981.2,3001.04,2966.05,2990.69,271606
2024-04-12,2991.73,2993.055,2941.47,2957.6,255664
2024-04-15,2978.09,2982.8999,2930.96,2936.63,198693
2024-04-16,2932.85,2946.86,2920.385,2942.33,160565
2024-04-17,2954.95,2954.95,2893.5,2902.96,177338
2024-04-18,2904.61,2940.84,2897.67,2907.97,213758
2024-04-19,2913.84,2913.84,2846.18,2869.11,441952
2024-04-22,2897.75,2912.0,2867.02,2884.25,259650
2024-04-23,2922.06,2930.0,2892.14,2915.0,210149
2024-04-24,2937.9,2959.99,2916.58,2926.76,363345
2024-04-25,3012.0,3145.69,2952.2301,3111.97,688531
2024-04-26,3120.47,3199.99,3120.37,3186.97,336557
2024-04-29,3216.35,3241.42,3170.75,3209.47,246004
2024-04-30,3199.51,3213.9,3152.0001,3159.6,343658
2024-05-01,3153.0,3157.5999,3120.0,3138.66,236438
2024-05-02,3154.51,3167.8899,3118.33,3141.99,179125
2024-05-03,3159.28,3176.4,3148.84,3155.38,269495
2024-05-06,3159.54,3202.22,3159.54,3199.1,199467
2024-05-07,3205.75,3211.76,3174.89,3193.68,221834
2024-05-08,3204.0,3216.0,3181.03,3183.25,206224
2024-05-09,3183.0,3232.97,3168.8501,3232.97,245403
2024-05-10,3244.01,3260.0,3218.82,3239.23,164770
2024-05-13,3239.0,3239.215,3187.46,3195.4,168471
2024-05-14,3183.0,3198.0,3171.42,3176.67,154953
2024-05-15,3170.72,3190.42,3160.76,3168.3,199462
2024-05-16,3173.31,3181.18,3138.4906,3145.88,198782
2024-05-17,3145.23,3217.29,3145.23,3213.43,287781
2024-05-20,3219.98,3242.66,3174.1,3176.39,284195
2024-05-21,3190.0,3191.7605,3167.5,3172.8,201943
2024-05-22,3176.2,3182.035,3141.01,3153.38,181277
2024-05-23,3160.0,3165.6,3130.44,3138.28,212307
2024-05-24,3150.0,3165.085,3142.88,3151.63,197031
2024-05-28,3160.0,3161.69,3130.0001,3153.84,237551
2024-05-29,3140.3,3140.465,3070.14,3072.85,337440
2024-05-30,3080.73,3107.99,3055.265,3105.84,214993
2024-05-31,3126.09,3129.52,3059.3701,3129.52,301458
2024-06-03,3138.88,3151.95,3029.635,3076.47,332454
2024-06-04,3112.83,3112.83,3063.31,3079.04,412315
2024-06-05,3094.0,3161.065,3081.96,3147.98,234810
2024-06-06,3172.5,3220.89,3153.09,3211.66,255646
2024-06-07,3226.67,3239.99,3163.45,3169.02,284793
2024-06-10,3169.01,3176.31,3121.0,3129.88,207346
2024-06-11,3116.28,3133.33,3081.7925,3130.2,194482
2024-06-12,3137.51,3192.6899,3124.005,3170.76,339957
2024-06-13,3188.28,3293.53,3188.28,3265.26,484833
2024-06-14,3269.99,3275.3,3237.29,3271.71,279499
2024-06-17,3326.62,3384.04,3295.0,3365.46,423979
2024-06-18,3435.0,3463.07,3370.0,3427.61,694699
2024-06-20,3445.58,3445.58,3188.0,3214.42,849328
2024-06-21,3225.2,3233.34,3193.205,3210.49,590510
2024-06-24,3214.75,3223.0,3164.21,3193.74,412931
2024-06-25,3216.3,3289.77,3214.0,3283.04,481061
2024-06-26,65.81,66.31,62.75,65.86,27266346
2024-06-27,65.875,65.89,61.84,62.41,28454247
2024-06-28,62.03,63.77,61.57,62.65,22128080
2024-07-01,62.69,62.76,60.25,61.81,19650609
2024-07-02,61.54,62.32,60.46,61.4,18369205
2024-07-03,61.05,62.81,60.84,61.58,12651785
2024-07-05,61.56,62.955,61.2,62.75,12845044
2024-07-08,62.46,62.66,59.04,59.51,24496574
2024-07-09,59.63,60.16,57.35,57.48,25175885
2024-07-10,57.43,58.63,56.82,58.3,20298377
2024-07-11,58.0,58.5,57.37,57.55,13326256
2024-07-12,57.76,58.6699,57.43,57.67,14046515
2024-07-15,57.75,57.8,56.48,56.61,15192390
2024-07-16,56.76,57.92,56.23,57.74,14404333
2024-07-17,56.92,57.39,55.1,55.29,17208203
2024-07-18,53.48,54.55,52.63,53.38,29138062
2024-07-19,53.92,54.0,52.95,53.54,15629851
2024-07-22,53.475,54.03,52.98,53.56,13869050
2024-07-23,53.89,54.72,52.34,52.55,17558045
2024-07-24,52.04,52.49,51.46,51.78,39208227
2024-07-25,50.51,51.6,49.53,50.82,40764338
2024-07-26,51.24,51.59,49.41,49.83,24611086
2024-07-29,49.91,51.29,49.59,50.97,16035297
2024-07-30,51.18,52.76,51.1,52.57,23648518
2024-07-31,53.5,54.51,52.8,54.32,23028864
2024-08-01,54.29,55.07,52.83,53.46,14099579
2024-08-02,52.33,52.85,51.15,52.57,15098096
2024-08-05,48.25,52.74,47.98,52.18,14448563
2024-08-06,52.93,55.11,52.6585,54.08,16405667
2024-08-07,54.5,55.3,53.41,53.63,11238844
2024-08-08,54.0,54.89,53.74,54.32,9305774
2024-08-09,54.9,56.14,54.53,55.55,11569747
