,open,high,low,close,volume
2020-03-13,595.0,607.57,502.0,546.62,22640254
2020-03-16,469.5,494.87,442.17,445.07,20489464
2020-03-17,440.01,471.85,396.0,430.2,23994580
2020-03-18,389.0,404.86,350.51,361.22,23625005
2020-03-19,374.7,452.0,358.46,427.64,30195460
2020-03-20,438.2,477.0,425.79,427.53,28285502
2020-03-23,433.6,442.0,410.5,434.29,16454549
2020-03-24,477.3,513.69,474.0,505.0,22895170
2020-03-25,545.25,557.0,511.11,539.25,21222745
2020-03-26,547.39,560.0,512.25,528.16,17422082
2020-03-27,505.0,525.8,494.03,514.36,14377408
2020-03-30,510.26,516.65,491.23,502.13,11998067
2020-03-31,501.25,542.96,497.0,524.0,17771485
2020-04-01,504.0,513.95,475.1,481.56,13353180
2020-04-02,481.03,494.26,446.4,454.47,19858427
2020-04-03,509.5,515.49,468.39,480.01,22562076
2020-04-06,511.2,521.0,497.96,516.24,14901836
2020-04-07,545.0,565.0,532.34,545.45,17919784
2020-04-08,554.2,557.21,533.33,548.84,12656024
2020-04-09,562.09,575.18,557.11,573.0,13650000
2020-04-13,590.16,652.0,580.53,650.95,22475421
2020-04-14,698.97,741.88,692.43,709.89,30576511
2020-04-15,742.0,753.13,710.0,729.83,23577001
2020-04-16,716.94,759.45,706.72,745.21,20657862
2020-04-17,772.28,774.95,747.66,753.89,13128237
2020-04-20,732.7,765.57,712.21,746.36,14746577
2020-04-21,730.12,753.33,673.79,686.72,20209093
2020-04-22,703.98,734.0,688.71,732.11,14224831
2020-04-23,727.6,734.0,703.13,705.63,13236697
2020-04-24,710.81,730.73,698.18,725.15,13237612
2020-04-27,737.61,799.49,735.0,798.75,20681442
2020-04-28,795.64,805.0,756.69,769.12,15221964
2020-04-29,790.17,803.2,783.16,800.51,16215982
2020-04-30,855.19,869.82,763.5,781.88,28471854
2020-05-01,755.0,772.77,683.04,701.32,32531807
2020-05-04,701.0,762.0,698.0,761.19,19237090
2020-05-05,789.79,798.92,762.18,768.21,16991656
2020-05-06,776.5,789.8,761.11,782.58,11123231
2020-05-07,777.21,796.4,772.35,780.04,11527686
2020-05-08,793.77,824.0,787.01,819.42,16130087
2020-05-11,790.51,824.0,785.0,811.29,16519601
2020-05-12,827.0,843.29,808.0,809.41,15906905
2020-05-13,820.83,826.0,763.3,790.96,19065491
2020-05-14,780.0,803.36,764.0,803.33,13682188
2020-05-15,790.35,805.05,786.55,799.17,10518428
2020-05-18,827.78,834.72,803.88,813.63,11698102
2020-05-19,815.17,822.07,806.08,808.01,9636522
2020-05-20,820.5,826.0,811.8,815.56,7309271
2020-05-21,816.0,832.5,796.0,827.6,12182524
2020-05-22,822.17,831.78,812.0,816.88,9987475
2020-05-26,834.5,834.6,815.71,818.87,8089736
2020-05-27,820.86,827.71,785.0,820.23,11549530
2020-05-28,813.51,824.75,801.69,805.81,7275774
2020-05-29,808.75,835.0,804.21,835.0,11812489
2020-06-01,858.0,899.0,854.1,898.1,15085297
2020-06-02,894.7,908.66,871.0,881.56,13565596
2020-06-03,888.12,897.94,880.1,882.96,7949469
2020-06-04,889.88,895.75,858.44,864.38,8887713
2020-06-05,877.84,886.52,866.2,885.66,7811917
2020-06-08,919.0,950.0,909.16,949.92,14174727
2020-06-09,940.01,954.44,923.93,940.67,11388154
2020-06-10,991.88,1027.48,982.5,1025.05,18563413
2020-06-11,990.2,1018.96,972.0,972.84,15916482
2020-06-12,980.0,987.98,912.6,935.28,16763374
2020-06-15,917.79,998.84,908.5,990.9,15697178
2020-06-16,1011.85,1012.88,962.39,982.13,14051078
2020-06-17,987.71,1005.0,982.57,991.79,9890800
2020-06-18,1003.0,1019.2,994.47,1003.96,9751936
2020-06-19,1012.78,1015.97,991.34,1000.9,8679749
2020-06-22,999.95,1008.88,990.02,994.32,6362350
2020-06-23,998.88,1012.0,994.01,1001.78,6365271
2020-06-24,994.11,1000.88,953.14,960.85,10959593
2020-06-25,954.27,985.98,937.15,985.98,9254549
2020-06-26,994.78,995.0,954.87,959.74,8854908
2020-06-29,969.01,1010.0,948.5201,1009.35,9026404
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918501
2020-07-01,1083.0,1135.33,1080.5,1119.63,13326897
2020-07-02,1221.48,1228.0,1185.6,1208.66,17250127
2020-07-06,1276.69,1377.79,1266.04,1371.58,20570284
2020-07-07,1405.01,1429.5,1336.71,1389.86,21493301
2020-07-08,1405.0,1417.26,1311.34,1365.88,16330188
2020-07-09,1396.99,1408.56,1351.28,1394.28,11718292
2020-07-10,1396.0,1548.92,1376.01,1544.65,23346353
2020-07-13,1659.0,1794.99,1471.11,1497.06,39003179
2020-07-14,1556.0,1590.0,1431.0,1516.8,23428079
2020-07-15,1543.0,1550.0,1457.0,1546.01,16368690
2020-07-16,1477.16,1531.71,1466.0,1500.64,14300795
2020-07-17,1513.45,1537.51,1490.0,1500.84,9332637
2020-07-20,1519.01,1650.0,1488.0,1643.0,16697299
2020-07-21,1639.93,1675.0,1558.0,1568.36,16029826
2020-07-22,1599.0,1626.42,1562.0,1592.33,14161080
2020-07-23,1678.95,1689.0,1480.77,1513.07,24328504
2020-07-24,1416.01,1465.0,1366.5401,1417.0,19396616
2020-07-27,1435.0,1547.94,1413.0003,1539.6,16048669
2020-07-28,1504.0,1564.7,1474.42,1476.49,15808700
2020-07-29,1501.0,1534.81,1487.0,1499.11,9426893
2020-07-30,1488.0,1513.24,1471.0,1487.49,7621039
2020-07-31,1515.0,1517.05,1420.98,1430.76,12246960
2020-08-03,1449.2,1509.8101,1444.3844,1485.0,8809346
2020-08-04,1495.01,1527.41,1462.0,1487.0,8414990
2020-08-05,1492.99,1499.8384,1468.31,1485.02,4978015
2020-08-06,1490.83,1517.31,1477.26,1489.58,5992313
2020-08-07,1499.5365,1499.75,1415.01,1452.71,8896420
2020-08-10,1448.0,1457.5,1385.84,1418.57,7522264
2020-08-11,1396.0,1420.0,1365.0,1374.39,8625834
2020-08-12,1470.0,1585.0,1435.0,1554.76,21898834
2020-08-13,1611.0,1651.18,1567.26,1621.0,20425308
2020-08-14,1664.99,1668.8,1626.64,1650.71,12577614
2020-08-17,1677.0,1845.86,1672.83,1835.64,20023104
2020-08-18,1898.99,1923.9,1845.11,1887.09,16474491
2020-08-19,1865.0,1911.0,1841.21,1878.53,12205331
2020-08-20,1860.68,2021.99,1857.06,2001.83,20611796
2020-08-21,2044.76,2095.49,2025.05,2049.98,21489559
2020-08-24,2126.275,2129.0,1927.52,2014.2,20063621
2020-08-25,1974.89,2027.95,1968.0,2023.34,10658893
2020-08-26,2060.0,2166.0,2053.6291,2153.17,14239382
2020-08-27,2180.46,2295.6,2142.5,2238.75,23693043
2020-08-28,2295.12,2318.49,2186.52,2213.4,20081176
2020-08-31,444.61,500.14,440.11,498.32,115847020
2020-09-01,502.14,502.49,470.51,475.05,90119419
2020-09-02,478.99,479.04,405.1206,447.37,96176128
2020-09-03,407.23,431.8,402.0,407.0,87596086
2020-09-04,402.81,428.0,372.0201,418.32,110321885
2020-09-08,356.0,368.74,329.88,330.21,115465691
2020-09-09,356.6,369.0,341.51,366.28,79465769
2020-09-10,386.21,398.99,360.56,371.34,84930608
2020-09-11,381.94,382.5,360.5,372.72,60717459
2020-09-14,380.95,420.0,373.3,419.62,83020608
2020-09-15,436.56,461.94,430.7,449.76,97298228
2020-09-16,439.87,457.79,435.31,441.76,72546760
2020-09-17,415.6,437.79,408.0001,423.43,76779163
2020-09-18,447.94,451.0,428.8,442.15,86406819
2020-09-21,453.13,455.68,407.07,449.39,109476800
2020-09-22,429.6,437.76,417.6001,424.23,79580795
2020-09-23,405.16,412.15,375.8801,380.36,95074176
2020-09-24,363.8,399.5,351.3,387.79,96561061
2020-09-25,393.47,408.7323,391.3,407.34,67208459
2020-09-28,424.62,428.08,415.55,421.2,49719561
2020-09-29,416.0,428.5,411.6,419.07,50341404
2020-09-30,421.32,433.93,420.47,429.01,48145566
2020-10-01,440.76,448.88,434.42,448.16,50741454
2020-10-02,421.39,439.13,415.0,415.09,71430025
2020-10-05,423.35,433.64,419.33,425.68,44722786
2020-10-06,423.79,428.7799,406.05,413.98,49146259
2020-10-07,419.87,429.9,413.845,425.3,43127709
2020-10-08,438.44,439.0,425.3,425.92,40421116
2020-10-09,430.13,434.5899,426.4601,434.0,28925656
2020-10-12,442.0,448.74,438.58,442.3,38791133
2020-10-13,443.35,448.89,436.6,446.65,34463665
2020-10-14,449.78,465.9,447.35,461.3,48045394
2020-10-15,450.31,456.57,442.5,448.88,35672354
2020-10-16,454.44,455.9499,438.85,439.67,32775879
2020-10-19,446.24,447.0,428.87,430.83,36287843
2020-10-20,431.75,431.75,419.0501,421.94,31656289
2020-10-21,422.7,432.95,421.25,422.64,32370461
2020-10-22,441.92,445.23,424.51,425.79,39993191
2020-10-23,421.84,422.8859,407.3801,420.63,33716980
2020-10-26,411.63,425.76,410.0,420.28,28239161
2020-10-27,423.76,430.5,420.1,424.68,22686506
2020-10-28,416.48,418.6,406.0,406.02,25451409
2020-10-29,409.96,418.06,406.46,410.83,22655308
2020-10-30,406.8954,407.5915,379.11,388.04,42587639
2020-11-02,394.0,406.9799,392.3,400.51,29021118
2020-11-03,409.73,427.77,406.69,423.9,34351715
2020-11-04,430.62,435.4,417.1,420.98,32143057
2020-11-05,428.3,440.0,424.0001,438.09,28414523
2020-11-06,436.1,436.57,424.28,429.95,21706014
2020-11-09,439.5,452.5,421.0,421.26,34833025
2020-11-10,420.09,420.09,396.0301,410.36,30284224
2020-11-11,416.45,418.695,410.58,417.13,17357722
2020-11-12,415.05,423.0,409.52,411.76,19940500
2020-11-13,410.85,412.5319,401.66,408.5,19830351
2020-11-16,408.93,412.45,404.0868,408.09,26838635
2020-11-17,460.17,462.0,433.01,441.61,61188281
2020-11-18,448.35,496.0,443.5001,486.64,78044024
2020-11-19,492.0,508.6112,487.57,499.27,62475346
2020-11-20,497.99,502.5,489.06,489.61,32911922
2020-11-23,503.5,526.0,501.79,521.85,50260304
2020-11-24,540.4,559.99,526.2,555.38,52058771
2020-11-25,550.06,574.0,545.37,574.0,48930162
2020-11-27,581.16,598.78,578.45,585.76,37561078
2020-11-30,602.21,607.8,554.51,567.6,63003052
2020-12-01,597.59,597.85,572.05,584.76,39133346
2020-12-02,556.44,571.54,541.21,568.82,47775653
2020-12-03,590.02,598.97,582.43,593.38,42552003
2020-12-04,591.01,599.04,585.5,599.04,29401314
2020-12-07,604.9197,648.7856,603.05,641.76,56309709
2020-12-08,625.505,651.28,618.5,649.88,64265029
2020-12-09,653.69,654.32,588.0,604.48,71291190
2020-12-10,574.37,627.75,566.34,627.07,67083153
2020-12-11,615.01,624.0,596.8,609.99,46474974
2020-12-14,619.0,642.7499,610.2001,639.83,52040649
2020-12-15,643.28,646.9,623.8,633.25,45223559
2020-12-16,628.23,632.5,605.0,622.77,42095813
2020-12-17,628.19,658.82,619.5,655.9,56270144
2020-12-18,668.9,695.0,628.54,695.0,222126194
2020-12-21,666.24,668.5,646.07,649.86,58045264
2020-12-22,648.0,649.88,614.23,640.34,51861644
2020-12-23,632.2,651.4999,622.5701,645.98,33172972
2020-12-24,642.99,666.09,641.0,661.77,22865568
2020-12-28,674.51,681.4,660.8,663.69,31553561
2020-12-29,661.0,669.9,655.0,665.99,22910811
2020-12-30,672.0,696.6,668.3603,694.78,42846021
2020-12-31,699.99,718.72,691.12,705.67,49649928
2021-01-04,719.46,744.4899,717.1895,729.77,48638189
2021-01-05,723.66,740.84,719.2,735.11,32245165
2021-01-06,758.49,774.0,749.1,755.98,44699965
2021-01-07,777.63,816.99,775.2,816.04,51498948
2021-01-08,856.0,884.49,838.39,880.02,75055528
2021-01-11,849.4,854.43,803.6222,811.19,59554146
2021-01-12,831.0,868.0,827.34,849.44,45985569
2021-01-13,852.76,860.47,832.0,854.41,33312496
2021-01-14,843.39,863.0,838.75,845.0,31266327
2021-01-15,852.0,859.9,819.1,826.16,38777596
2021-01-19,837.8,850.0,833.0,844.55,25366980
2021-01-20,858.74,859.5,837.28,850.45,25665883
2021-01-21,855.0,855.7199,841.4201,844.99,20598133
2021-01-22,834.31,848.0,828.62,846.64,20066497
2021-01-25,855.0,900.4,838.8201,880.8,41173397
2021-01-26,891.38,895.9,871.6,883.09,23131603
2021-01-27,870.35,891.5,858.66,864.16,27333955
2021-01-28,820.0,848.0,801.0,835.43,26378048
2021-01-29,830.0003,842.41,780.1,793.53,34990754
2021-02-01,814.29,842.0,795.5601,839.81,25391385
2021-02-02,844.68,880.5,842.2006,872.79,23998098
2021-02-03,877.02,878.08,853.0646,854.69,18343510
2021-02-04,855.0,856.5,833.42,849.99,15812661
2021-02-05,845.0,864.77,838.97,852.23,18566637
2021-02-08,869.67,877.77,854.75,863.42,20161719
2021-02-09,855.12,859.8,841.75,849.46,15027305
2021-02-10,843.635,844.82,800.02,804.82,35723444
2021-02-11,812.44,829.8799,801.725,811.66,21622753
2021-02-12,801.26,817.33,785.3306,816.12,23768313
2021-02-16,818.0,821.0,792.44,796.22,19802324
2021-02-17,779.09,799.84,762.01,798.15,25878526
2021-02-18,780.9,794.69,776.27,787.38,17957058
2021-02-19,795.0,796.7899,777.37,781.3,18958255
2021-02-22,762.64,768.5,710.2,714.5,36594555
2021-02-23,662.13,713.6099,619.0,698.84,66606882
2021-02-24,711.85,745.0,694.17,742.02,36766950
2021-02-25,726.15,737.2066,670.58,682.22,38126722
2021-02-26,700.0,706.7,659.51,675.5,39767316
2021-03-01,690.11,719.0,685.05,718.43,27136239
2021-03-02,718.28,721.11,685.0,686.44,23732158
2021-03-03,687.99,700.7,651.705,653.2,30207960
2021-03-04,655.8,668.45,600.0,621.44,64799898
2021-03-05,626.06,627.8419,539.49,597.95,89396459
2021-03-08,600.55,620.125,558.79,563.0,51786958
2021-03-09,608.18,678.09,595.21,673.58,67523328
2021-03-10,700.3,717.85,655.06,668.06,60605672
2021-03-11,699.4,702.5,677.18,699.6,36253892
2021-03-12,670.0,694.88,666.1394,693.73,33583840
2021-03-15,694.09,713.18,684.04,707.94,29423479
2021-03-16,703.35,707.92,671.0,676.88,32195672
2021-03-17,656.87,703.73,651.01,701.81,40372453
2021-03-18,684.29,689.23,652.0,653.16,33369022
2021-03-19,646.6,657.23,624.6201,654.87,42893978
2021-03-22,684.59,699.62,668.75,670.0,39512221
2021-03-23,675.77,677.8,657.51,662.16,30491870
2021-03-24,667.91,668.02,630.11,630.27,33795174
2021-03-25,613.0,645.5,609.5,640.39,39224850
2021-03-26,641.87,643.82,599.89,618.71,33852827
2021-03-29,615.64,616.48,596.02,611.29,28636985
2021-03-30,601.75,637.66,591.01,635.62,39432359
2021-03-31,646.62,672.0,641.11,667.93,33337288
2021-04-01,688.37,692.4203,659.42,661.75,35298378
2021-04-05,707.71,708.16,684.7,691.05,41842767
2021-04-06,690.3,696.55,681.37,691.62,28271839
2021-04-07,687.0,691.38,667.84,670.97,26309433
2021-04-08,677.38,689.5499,671.645,683.8,23924329
2021-04-09,677.77,680.97,669.43,677.02,21437087
2021-04-12,685.7,704.8,682.09,701.98,29135670
2021-04-13,712.7,763.0,710.66,762.32,44652808
2021-04-14,770.7,780.79,728.03,732.23,49017434
2021-04-15,743.1,743.69,721.31,738.85,27848900
2021-04-16,728.65,749.41,724.6,739.78,27979526
2021-04-19,719.6,725.4,691.8001,714.63,39686226
2021-04-20,717.42,737.25,710.685,718.99,35609038
2021-04-21,704.77,744.84,698.0,744.12,31215514
2021-04-22,741.5,753.77,718.04,719.69,35590255
2021-04-23,719.8,737.36,715.46,729.4,28413889
2021-04-26,741.0,749.3,732.6053,738.2,31038502
2021-04-27,717.96,724.0,703.3501,704.74,29436995
2021-04-28,696.41,708.5,693.6,694.4,22271047
2021-04-29,699.51,702.25,668.5002,677.0,28845449
2021-04-30,667.59,715.47,666.14,709.44,40758722
2021-05-03,703.8,706.0,680.5,684.9,27043143
2021-05-04,678.94,683.4464,657.701,673.6,29739319
2021-05-05,681.06,685.2955,667.34,670.94,21901894
2021-05-06,680.76,681.02,650.0,663.54,27784619
2021-05-07,665.8,690.0,660.22,672.37,23469172
2021-05-10,664.9,665.05,627.6101,629.04,31392417
2021-05-11,599.24,627.0999,595.6,617.2,46503896
2021-05-12,602.49,620.41,586.765,589.89,33823646
2021-05-13,601.545,606.4599,559.65,571.69,44184916
2021-05-14,583.41,592.87,570.46,589.74,33370856
2021-05-17,575.5531,589.73,561.2,576.83,32390360
2021-05-18,568.0,596.25,563.38,577.87,36830567
2021-05-19,552.55,566.21,546.98,563.46,39578395
2021-05-20,575.0,588.85,571.07,586.78,30821119
2021-05-21,596.11,596.68,580.0,580.88,26030595
2021-05-24,581.6,614.48,573.65,606.44,34558089
2021-05-25,607.31,613.99,595.71,604.69,28005933
2021-05-26,607.56,626.17,601.5,619.13,28639305
2021-05-27,620.24,631.13,616.21,630.85,26370593
2021-05-28,628.5,635.59,622.38,625.22,22737038
2021-06-01,627.8,633.8,620.55,623.9,18084890
2021-06-02,620.13,623.36,599.14,605.12,23302779
2021-06-03,601.8,604.55,571.22,572.84,30111893
2021-06-04,579.71,600.61,577.2,599.05,24036896
2021-06-07,591.825,610.0,582.88,605.13,22543682
2021-06-08,623.01,623.09,595.5,603.59,26053405
2021-06-09,602.17,611.79,597.6301,598.78,16584566
2021-06-10,603.88,616.59,600.5,610.12,23919606
2021-06-11,610.23,612.56,601.52,609.89,16205303
2021-06-14,612.23,625.49,609.18,617.69,20423983
2021-06-15,616.69,616.79,598.23,599.36,17764145
2021-06-16,597.535,608.5,593.5,604.87,21845739
2021-06-17,601.8878,621.47,601.34,616.6,22701350
2021-06-18,613.37,628.35,611.8,623.31,24560905
2021-06-21,624.48,631.39,608.88,620.83,24812741
2021-06-22,618.25,628.5693,615.5,623.71,19158892
2021-06-23,632.0,657.204,630.04,656.57,31099228
2021-06-24,674.99,697.62,667.61,679.82,45982386
2021-06-25,689.58,693.81,668.7,671.87,32496707
2021-06-28,671.64,694.6999,670.32,688.72,21628159
2021-06-29,684.65,687.5099,675.89,680.76,17381313
2021-06-30,679.77,692.81,678.14,679.7,18924862
2021-07-01,683.92,687.99,672.8,677.92,18634522
2021-07-02,678.98,700.0,673.26,678.9,27097374
2021-07-06,681.7115,684.0,651.4002,659.58,23284450
2021-07-07,664.27,665.7,638.32,644.65,18791960
2021-07-08,628.37,654.43,620.46,652.81,22773316
2021-07-09,653.185,658.91,644.69,656.95,18140548
2021-07-12,662.2,687.24,662.161,685.7,25927042
2021-07-13,686.32,693.28,666.2958,668.54,20966092
2021-07-14,670.75,678.6099,652.84,653.38,21641190
2021-07-15,658.39,666.14,637.88,650.6,20209571
2021-07-16,654.68,656.6999,642.2,644.22,16370970
2021-07-19,629.89,647.1999,621.29,646.22,21297090
2021-07-20,651.99,662.3916,640.501,660.5,15487127
2021-07-21,659.61,664.8599,650.2901,655.29,13953338
2021-07-22,656.4428,662.17,644.6001,649.26,15105727
2021-07-23,646.36,648.8,637.3001,643.38,14604944
2021-07-26,650.97,668.1999,647.11,657.62,25336556
2021-07-27,663.4,666.5,627.24,644.78,32813290
2021-07-28,646.995,654.9699,639.4001,646.98,16006596
2021-07-29,649.79,683.69,648.8,677.35,29688446
2021-07-30,671.758,697.53,669.0,687.2,29656411
2021-08-02,700.0,726.94,698.4,709.67,33615765
2021-08-03,719.0,722.65,701.01,709.74,21620253
2021-08-04,711.0,724.9,708.93,710.92,17002647
2021-08-05,716.0,720.9499,711.41,714.63,12919637
2021-08-06,711.9,716.33,697.63,699.1,15623049
2021-08-09,710.17,719.03,705.13,713.76,14715349
2021-08-10,713.99,716.59,701.88,709.99,13432305
2021-08-11,712.71,715.18,704.21,707.82,9800558
2021-08-12,706.34,722.8,699.4,722.25,17681686
2021-08-13,723.71,729.9,714.34,717.17,16671844
2021-08-16,705.07,709.5,676.4,686.17,23103303
2021-08-17,672.66,674.58,648.84,665.71,23721279
2021-08-18,669.7479,695.77,669.35,688.99,20349375
2021-08-19,678.21,686.55,667.59,673.47,14313486
2021-08-20,682.85,692.1299,673.7,680.26,14841865
2021-08-23,685.442,712.1299,680.7505,706.3,20264859
2021-08-24,710.68,715.22,702.64,708.49,13083071
2021-08-25,707.03,716.97,704.0,711.2,12645562
2021-08-26,708.31,715.4,697.6201,701.16,13214292
2021-08-27,705.0,715.0,702.1001,711.92,13833763
2021-08-30,714.715,731.0,712.73,730.91,18604220
2021-08-31,733.0,740.39,726.44,735.72,20855436
2021-09-01,734.08,741.99,731.2701,734.09,13204335
2021-09-02,734.5,740.97,730.54,732.39,12796739
2021-09-03,732.2494,734.0,724.2,733.57,15271045
2021-09-07,740.0,760.2,739.26,752.92,20039825
2021-09-08,761.58,764.45,740.7733,753.87,18793036
2021-09-09,753.41,762.1,751.6301,754.86,14077731
2021-09-10,759.6,762.61,734.5201,736.27,15184170
2021-09-13,740.2143,744.78,708.85,743.0,22952482
2021-09-14,742.57,754.47,736.4,744.49,18524881
2021-09-15,745.0,756.86,738.36,755.83,15357685
2021-09-16,752.83,758.91,747.61,756.99,13923393
2021-09-17,757.15,761.04,750.0,759.49,28204176
2021-09-20,734.5577,742.0,718.6249,730.17,24757652
2021-09-21,734.79,744.7399,730.44,739.38,16330723
2021-09-22,743.5263,753.6699,739.12,751.94,15126272
2021-09-23,755.0,758.2,747.92,753.64,11947527
2021-09-24,745.89,774.8,744.56,774.39,21373022
2021-09-27,773.12,799.0,769.31,791.36,28070657
2021-09-28,787.2,795.64,766.1801,777.56,25381422
2021-09-29,779.8,793.5,770.68,781.31,20942877
2021-09-30,781.0,789.1305,775.0,775.48,17955961
2021-10-01,778.4,780.78,763.59,775.22,17031414
2021-10-04,796.5,806.9699,776.12,781.53,30483341
2021-10-05,784.7962,797.31,774.2,780.59,18432625
2021-10-06,776.2,786.66,773.22,782.75,14632768
2021-10-07,785.46,805.0,783.38,793.61,19195782
2021-10-08,796.21,796.38,780.91,785.49,16738604
2021-10-11,787.65,801.24,785.5,791.94,14200322
2021-10-12,800.93,812.32,796.57,805.72,22020040
2021-10-13,810.47,815.41,805.78,811.08,14120075
2021-10-14,815.49,820.25,813.3501,818.32,12247170
2021-10-15,823.7384,843.21,822.35,843.03,18924567
2021-10-18,851.79,875.26,851.47,870.11,24207244
2021-10-19,877.53,877.95,862.51,864.27,17381128
2021-10-20,865.35,869.49,857.38,865.8,14032052
2021-10-21,856.0,900.0,855.5046,894.0,31481454
2021-10-22,895.5,910.0,890.96,909.68,22880835
2021-10-25,950.53,1045.02,944.2,1024.86,62852099
2021-10-26,1024.69,1094.94,1001.44,1018.43,62414968
2021-10-27,1039.66,1070.88,1030.78,1037.86,38526459
2021-10-28,1068.305,1081.0,1054.2,1077.04,27213173
2021-10-29,1081.86,1115.21,1073.205,1114.0,29918417
2021-11-01,1145.0,1209.75,1118.66,1208.59,54868952
2021-11-02,1159.355,1208.59,1146.0,1172.0,42450935
2021-11-03,1177.33,1215.39,1152.62,1213.86,34628519
2021-11-04,1234.41,1243.49,1217.0,1229.91,25397410
2021-11-05,1228.0,1239.87,1208.0,1222.09,21628812
2021-11-08,1149.785,1197.0,1133.0,1162.94,33445715
2021-11-09,1173.6,1174.5,1011.52,1023.5,58525547
2021-11-10,1010.41,1078.1,987.31,1067.95,42802722
2021-11-11,1102.77,1104.97,1054.68,1063.51,22396568
2021-11-12,1047.5,1054.5,1019.2,1033.42,25147852
2021-11-15,1017.63,1031.98,978.6,1013.39,34775649
2021-11-16,1003.31,1057.1999,1002.18,1054.73,26542359
2021-11-17,1063.51,1119.64,1055.5,1089.01,31445365
2021-11-18,1106.55,1112.0,1075.02,1096.38,20898930
2021-11-19,1098.87,1138.7199,1092.7,1137.06,21642258
2021-11-22,1162.33,1201.95,1132.43,1156.87,33072509
2021-11-23,1167.51,1180.4999,1062.7,1109.03,36171700
2021-11-24,1080.39,1132.77,1062.0,1116.0,22560238
2021-11-26,1099.47,1108.7827,1081.0,1081.92,11680890
2021-11-29,1100.99,1142.67,1100.19,1136.99,19464467
2021-11-30,1144.37,1168.0,1118.0,1144.76,27092038
2021-12-01,1160.695,1172.8399,1090.76,1095.0,22934698
2021-12-02,1099.06,1113.0,1056.65,1084.6,24371623
2021-12-03,1084.79,1090.5753,1000.21,1014.97,30773995
2021-12-06,1001.51,1021.64,950.5,1009.01,27221037
2021-12-07,1044.2,1057.6739,1026.81,1051.75,18694857
2021-12-08,1052.71,1072.38,1033.0001,1068.96,13968790
2021-12-09,1060.64,1062.49,1002.36,1003.8,19812832
2021-12-10,1008.75,1020.9797,982.53,1017.03,19888122
2021-12-13,1001.09,1005.0,951.42,966.41,26198502
2021-12-14,945.0,966.41,930.0,958.51,23602090
2021-12-15,953.21,978.7499,928.2501,975.99,25056410
2021-12-16,994.5,994.98,921.85,926.92,27590483
2021-12-17,914.77,960.6599,909.0401,932.57,33626754
2021-12-20,910.7,921.6884,893.39,899.94,18826671
2021-12-21,916.87,939.5,886.12,938.53,23839305
2021-12-22,965.66,1015.6599,957.05,1008.87,31211362
2021-12-23,1006.8,1072.9767,997.56,1067.0,30904429
